,city,lngs,lats,max_temp,humidity,cloudiness,wind_speed
101,Palana,159.97,59.12,54.93,85.0,13.0,17.4
102,Cape Town,18.42,-33.93,57.99,87.0,1.0,12.75
103,Kīhei,-156.47,20.79,86.0,51.0,20.0,27.51
104,Shahr-e Kord,50.86,32.33,64.4,45.0,20.0,2.24
105,Chara,118.26,56.91,79.09,50.0,94.0,2.62
106,Sorong,131.25,-0.88,83.03,77.0,90.0,4.5
107,Thinadhoo,72.93,0.53,82.53,76.0,99.0,8.34
108,Saskylakh,114.08,71.92,56.46,55.0,53.0,10.25
109,Mount Gambier,140.77,-37.83,55.4,76.0,75.0,5.82
110,Kavieng,150.8,-2.57,83.61,76.0,56.0,10.54
111,Kerema,145.78,-7.96,81.39,81.0,98.0,5.41
112,Finote Selam,37.27,10.7,56.53,91.0,100.0,2.3
113,Havre-St-Pierre,-63.6,50.23,60.8,93.0,90.0,13.87
114,Lavrentiya,-171.0,65.58,47.93,80.0,93.0,13.85
115,Bredasdorp,20.04,-34.53,39.2,93.0,0.0,2.24
118,Tautira,-149.15,-17.73,80.6,74.0,40.0,14.99
120,Nanortalik,-45.24,60.14,46.15,95.0,100.0,4.45
121,Busselton,115.33,-33.65,63.0,98.0,98.0,10.38
122,Christchurch,172.63,-43.53,48.99,93.0,100.0,11.41
124,Baní,-70.33,18.28,81.0,79.0,23.0,5.01
125,Bambous Virieux,57.76,-20.34,68.0,93.0,40.0,5.82
126,Padang,100.35,-0.95,81.91,70.0,100.0,6.53
127,Koslan,48.9,63.46,66.25,68.0,18.0,4.41
128,Pulivendla,78.23,14.42,82.4,74.0,75.0,11.41
131,Palmer,-72.33,42.16,84.2,54.0,75.0,5.82
133,Ilulissat,-51.1,69.22,41.0,86.0,99.0,5.82
134,Hong Kong,114.16,22.29,93.2,46.0,20.0,10.29
135,Tchibanga,11.03,-2.85,64.78,97.0,5.0,1.52
136,Isangel,169.27,-19.55,82.4,69.0,75.0,10.29
137,Tura,90.22,25.52,79.18,92.0,100.0,4.72
138,George Town,100.34,5.41,87.8,62.0,20.0,11.41
139,Fairbanks,-147.72,64.84,59.0,82.0,90.0,5.82
140,Lüderitz,15.16,-26.65,51.8,93.0,0.0,5.82
143,Matara,80.54,5.95,79.39,85.0,100.0,7.72
144,Quang Ngai,108.8,15.12,95.63,44.0,15.0,1.61
145,Tiksi,128.87,71.69,40.14,85.0,100.0,17.07
146,Westport,-73.36,41.14,87.01,74.0,1.0,8.05
147,Tuatapere,167.68,-46.13,48.99,82.0,100.0,2.53
148,Ngunguru,174.5,-35.62,60.01,3.0,79.0,7.0
149,Verkhnyaya Inta,60.31,65.98,57.83,62.0,0.0,8.03
150,Gigmoto,124.39,13.78,84.16,78.0,100.0,6.76
151,Jiuquan,98.52,39.74,89.4,15.0,0.0,11.54
152,Mezen',44.24,65.85,58.62,76.0,33.0,4.07
153,Moussoro,16.49,13.64,83.93,57.0,55.0,10.71
154,Ambovombe,46.08,-25.17,61.48,79.0,0.0,3.49
156,Portland,-122.68,45.52,90.0,38.0,40.0,6.93
157,Diamantino,-56.45,-14.41,72.14,33.0,0.0,6.46
158,Yangi Marg`ilon,71.72,40.43,82.4,39.0,85.0,4.7
159,Emba,58.14,48.83,64.02,67.0,0.0,13.89
160,Port Elizabeth,25.57,-33.92,46.4,87.0,0.0,3.36
161,Bluff,168.33,-46.6,48.99,81.0,100.0,4.41
162,Cuenca,-78.98,-2.88,51.8,87.0,13.0,2.24
164,Phaltan,74.43,17.98,77.27,74.0,98.0,6.78
165,San Felipe,-68.74,10.34,71.83,92.0,100.0,0.85
166,Manokwari,134.08,-0.87,81.52,75.0,98.0,2.77
167,Guarapari,-40.5,-20.67,64.4,93.0,0.0,2.24
168,Pringsewu,104.97,-5.36,85.14,55.0,66.0,1.5
169,Kaseda-shirakame,130.32,31.42,86.0,74.0,75.0,9.17
170,Cabo San Lucas,-109.91,22.89,86.0,69.0,40.0,11.41
171,Esmeraldas,-44.31,-19.76,64.4,82.0,0.0,3.36
172,Verkhozim,45.42,52.71,61.0,55.0,0.0,4.09
173,Yuci,112.73,37.68,75.2,64.0,35.0,4.47
174,Gołdap,22.3,54.31,57.43,93.0,100.0,2.57
175,Takoradze,-1.76,4.88,74.07,87.0,100.0,11.43
176,Honningsvåg,25.97,70.98,66.2,59.0,0.0,9.17
177,Deputatsky,139.9,69.3,48.42,64.0,99.0,7.18
